time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-23 00:00:00+00:00,30,11,46.0,11.0
2023-01-24 00:00:00+00:00,58,6,33.0,4.0
2023-01-25 00:00:00+00:00,176,14,48.0,7.0
2023-01-26 00:00:00+00:00,24,10,14.0,5.0
2023-01-27 00:00:00+00:00,9,6,8.0,2.0
2023-01-28 00:00:00+00:00,9,5,33.0,3.0
2023-01-29 00:00:00+00:00,6,3,3.0,1.0
2023-01-30 00:00:00+00:00,17,7,,
2023-01-31 00:00:00+00:00,26,8,5.0,2.0
2023-02-01 00:00:00+00:00,58,8,59.0,3.0
2023-02-02 00:00:00+00:00,64,7,,
2023-02-03 00:00:00+00:00,129,10,56.0,5.0
2023-02-04 00:00:00+00:00,4,3,8.0,2.0
2023-02-05 00:00:00+00:00,4,3,,
