url_path,views_total,views_unique
/Julia-Tempering/Pigeons.jl,49,21
/Julia-Tempering/Pigeons.jl/issues,14,4
/Julia-Tempering/Pigeons.jl/blob/main/test/supporting/dimensional-analysis.jl,14,3
/Julia-Tempering/Pigeons.jl/tree/main/docs,11,1
/Julia-Tempering/Pigeons.jl/blob/main/docs/src/index.md,8,3
/Julia-Tempering/Pigeons.jl/blob/main/src/pt/pigeons.jl,8,2
/Julia-Tempering/Pigeons.jl/blob/main/docs/make.jl,8,1
/Julia-Tempering/Pigeons.jl/tree/main/examples,7,2
/Julia-Tempering/Pigeons.jl/actions,6,3
/Julia-Tempering/Pigeons.jl/blob/ab190b885272c66992d84102fbdfcf5ebb97c0d9/test/test_auto_mala.jl,6,2
