time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-28 00:00:00+00:00,33,9,21,15
2025-03-01 00:00:00+00:00,22,8,5,3
2025-03-02 00:00:00+00:00,8,5,2,2
2025-03-03 00:00:00+00:00,10,6,28,10
2025-03-04 00:00:00+00:00,4,4,24,10
2025-03-05 00:00:00+00:00,33,10,17,8
2025-03-06 00:00:00+00:00,10,5,8,4
2025-03-07 00:00:00+00:00,7,4,17,5
2025-03-08 00:00:00+00:00,9,6,2,2
2025-03-09 00:00:00+00:00,5,4,16,7
2025-03-10 00:00:00+00:00,8,5,35,13
2025-03-11 00:00:00+00:00,2,2,20,9
2025-03-12 00:00:00+00:00,3,3,17,5
2025-03-13 00:00:00+00:00,1,1,64,18
