time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-31 00:00:00+00:00,4.0,1.0,3,2
2024-09-01 00:00:00+00:00,2.0,2.0,27,1
2024-09-02 00:00:00+00:00,1.0,1.0,101,3
2024-09-03 00:00:00+00:00,22.0,1.0,153,10
2024-09-04 00:00:00+00:00,,,68,6
2024-09-05 00:00:00+00:00,1.0,1.0,6,6
2024-09-06 00:00:00+00:00,,,10,7
2024-09-07 00:00:00+00:00,3.0,2.0,2,2
2024-09-08 00:00:00+00:00,1.0,1.0,8,3
2024-09-09 00:00:00+00:00,1.0,1.0,38,4
2024-09-10 00:00:00+00:00,,,49,4
2024-09-11 00:00:00+00:00,,,2,2
2024-09-12 00:00:00+00:00,,,6,3
2024-09-13 00:00:00+00:00,,,22,2
